sample_id,Pressure__mean,Pressure__std,Pressure__min,Pressure__max,Pressure__median,Pressure__range,Pressure__iqr,CO2 Weld Flow__mean,CO2 Weld Flow__std,CO2 Weld Flow__min,CO2 Weld Flow__max,CO2 Weld Flow__median,CO2 Weld Flow__range,CO2 Weld Flow__iqr,Feed__mean,Feed__std,Feed__min,Feed__max,Feed__median,Feed__range,Feed__iqr,Primary Weld Current__mean,Primary Weld Current__std,Primary Weld Current__min,Primary Weld Current__max,Primary Weld Current__median,Primary Weld Current__range,Primary Weld Current__iqr,Wire Consumed__mean,Wire Consumed__std,Wire Consumed__min,Wire Consumed__max,Wire Consumed__median,Wire Consumed__range,Wire Consumed__iqr,Secondary Weld Voltage__mean,Secondary Weld Voltage__std,Secondary Weld Voltage__min,Secondary Weld Voltage__max,Secondary Weld Voltage__median,Secondary Weld Voltage__range,Secondary Weld Voltage__iqr,Pressure__win_mean_of_std,Pressure__win_std_of_mean,Pressure__win_max_std,CO2 Weld Flow__win_mean_of_std,CO2 Weld Flow__win_std_of_mean,CO2 Weld Flow__win_max_std,Feed__win_mean_of_std,Feed__win_std_of_mean,Feed__win_max_std,Primary Weld Current__win_mean_of_std,Primary Weld Current__win_std_of_mean,Primary Weld Current__win_max_std,Wire Consumed__win_mean_of_std,Wire Consumed__win_std_of_mean,Wire Consumed__win_max_std,Secondary Weld Voltage__win_mean_of_std,Secondary Weld Voltage__win_std_of_mean,Secondary Weld Voltage__win_max_std,Pressure__diff_mean,Pressure__diff_std,Pressure__diff_max,Pressure__diff_min,CO2 Weld Flow__diff_mean,CO2 Weld Flow__diff_std,CO2 Weld Flow__diff_max,CO2 Weld Flow__diff_min,Feed__diff_mean,Feed__diff_std,Feed__diff_max,Feed__diff_min,Primary Weld Current__diff_mean,Primary Weld Current__diff_std,Primary Weld Current__diff_max,Primary Weld Current__diff_min,Wire Consumed__diff_mean,Wire Consumed__diff_std,Wire Consumed__diff_max,Wire Consumed__diff_min,Secondary Weld Voltage__diff_mean,Secondary Weld Voltage__diff_std,Secondary Weld Voltage__diff_max,Secondary Weld Voltage__diff_min,phase__arc_fraction,phase__n_arcing_rows,phase__n_idle_rows,phase__arc_start_idx,phase__arc_end_idx,phase__arc_duration_frac,meta__n_rows,img__n_images,img__brightness_mean__run_mean,img__brightness_mean__run_std,img__brightness_std__run_mean,img__brightness_std__run_std,img__brightness_min__run_mean,img__brightness_min__run_std,img__brightness_max__run_mean,img__brightness_max__run_std,img__hist_entropy__run_mean,img__hist_entropy__run_std,img__edge_density__run_mean,img__edge_density__run_std
04-04-23-0001-00,1.1188775510204083,1.1078373138531274,0.35,3.13,0.43,2.78,1.3900000000000001,14.07670068027211,9.594202334163755,-0.04,33.77,16.57,33.81,12.5025,0.6296598639455782,0.20399228709901232,0.03,0.98,0.67,0.95,0.21000000000000008,111.67119047619049,81.03654164334189,0.0,187.99,167.93,187.99,172.23000000000002,11.539149659863945,8.258016580330093,0.98,24.26,10.41,23.28,14.5075,14.572176870748297,11.041603856454739,0.0,81.92,20.365000000000002,81.92,20.73,0.2339338040619297,0.8954406979806092,1.118019695712021,3.2064841028133033,7.653260442556493,12.961143111624068,0.0779054773168068,0.15524130893547639,0.2942666138045565,26.852773921025793,58.15240142915509,85.28531074575504,1.3905791690509006,7.110504408436858,2.3243407667551677,4.276134239081022,6.873959677042047,16.81271581274126,-0.0008191126279863489,0.1314696096578728,0.97,-1.57,-0.00010238907849828528,0.49549510637288663,3.1999999999999997,-2.8299999999999996,0.0024914675767918086,0.06562870938424419,0.95,-0.49,0.0,12.472975828862864,69.14,-118.68,0.07945392491467577,0.11865849218271962,0.6599999999999999,0.0,-2.4250605316044375e-17,5.862032818666516,81.92,-41.83,0.6598639455782312,194,100,0.1870748299319728,0.8435374149659864,0.6564625850340136,294,5,0.48596898317337034,0.02214718318273463,0.14316743314266206,0.009836284570110525,0.02666666731238365,0.011473520635741441,0.8941176533699036,0.008942551820701073,4.69636575489272,0.12388726713618056,0.027765997126698493,0.001759990537193444
04-04-23-0002-00,1.080544217687075,1.0734228257702272,0.31,3.04,0.42,2.73,1.6799999999999997,14.703163265306124,9.89442966642168,-0.04,34.23,17.25,34.269999999999996,12.84,0.5423469387755102,0.17617359392194698,0.03,1.31,0.55,1.28,0.15000000000000002,105.79768707482994,75.429550980932,0.0,174.18,156.79500000000002,174.18,160.75,9.199557823129249,5.996020250814778,1.15,17.87,7.87,16.720000000000002,11.15,14.650238095238095,10.352203980161493,0.0,40.23,20.855,40.23,21.15,0.24826494858701662,0.8436547341181699,1.051694803638394,3.307501654801354,7.873097408999842,12.98123112189287,0.07850748438964096,0.07349228258803779,0.3853937726533734,24.17654272302139,53.40206135633343,79.42027674315923,0.9962854140381413,5.261392892381256,2.513379406297426,3.179866396161939,6.950891241963149,13.601536595546843,0.00017064846416382193,0.12536100565278135,1.05,-1.1999999999999997,-3.412969283278197e-05,0.51256239065174,3.57,-2.8400000000000003,0.001808873720136519,0.08657764938505907,1.28,-0.65,9.70024212641775e-17,11.713538151532065,145.85999999999999,-82.39,0.05706484641638225,0.16408605084501018,1.4800000000000004,0.0,0.0,2.5705217742281086,37.45,-17.07,0.6666666666666666,196,98,0.1836734693877551,0.8469387755102041,0.6632653061224489,294,5,0.4732534408569336,0.018077328272571285,0.1506584793329239,0.00885141715536234,0.03764705993235111,0.02008823385703075,0.905098044872284,0.013217489052452853,4.688587616184966,0.11232668342692466,0.027535848319530487,0.0027301117865961523
08-11-22-0001-00,0.7170238095238096,1.1863618332664847,-0.01,3.37,0.09,3.38,0.72,11.272053571428572,8.243561374094623,-0.05,34.57,11.18,34.62,0.9249999999999989,50.56648809523809,25.319813883446994,0.01,76.19,63.43,76.17999999999999,35.50000000000001,124.4420238095238,78.74778294578867,0.0,229.85,170.10000000000002,229.85,177.3175,1153.2617857142857,828.145840053187,0.33,2361.97,1049.26,2361.64,1580.3274999999999,18.824464285714285,11.433181913508479,0.0,40.23,24.96,40.23,25.22,0.2403565582257802,0.9923786200616956,1.3415909361649696,3.0494137623151594,6.214241305975242,12.057902678326775,5.8957801321406125,22.98443699715938,15.176922572115865,26.283641475853376,56.89135145915316,87.98320781694652,126.34152649947481,757.4141225722792,231.5178450919065,4.406430257294911,7.004499687581786,14.760154140116558,-0.003313432835820895,0.12500565363923813,0.53,-1.82,-5.3025577295529865e-18,0.494587470996856,3.33,-2.6799999999999997,0.19053731343283584,1.3444985522998802,5.909999999999997,-5.770000000000003,1.6968184734569557e-16,19.7295099350047,227.94,-170.85999999999999,7.049671641791044,11.421495736632657,44.25999999999999,0.0,-1.0605115459105973e-17,2.558222389943295,26.72,-33.16,0.7202380952380952,242,94,0.15178571428571427,0.8690476190476191,0.7172619047619048,336,5,0.23630318641662598,0.028575025750436512,0.2373169630765915,0.01220231725712429,0.01019607875496149,0.008803899706645284,0.9866666674613953,0.02098680370635899,4.6393330638811765,0.23077571748216713,0.024835402518510817,0.003280065486874212
08-11-22-0002-00,0.7520588235294118,1.1982998758239907,0.01,3.38,0.13,3.37,0.97,11.103852941176472,7.858386395022337,-0.05,32.9,11.38,32.949999999999996,1.3975000000000009,35.73847058823529,23.577119039373162,0.0,63.65,47.735,63.65,51.2575,123.05079411764707,79.02011397139265,0.0,192.41,169.14,192.41,176.75,886.1034411764706,719.0912840270278,0.16,1871.15,788.935,1870.99,1557.5024999999998,18.578352941176473,11.547879918518731,0.0,40.23,24.935000000000002,40.23,25.21,0.2474543926254825,1.0116493346950262,1.3344215975470421,2.907286097077606,5.938877086037019,12.084264849795373,4.552218549482127,22.64113879266873,12.909865907901601,26.026646713111507,56.682613366465574,84.13129299493738,100.40294628303019,666.6644552871928,227.97446453706172,4.182655597456397,7.417545292225874,14.970750630479422,-0.0035988200589970494,0.14087647700645964,0.53,-2.26,-5.899705014750185e-05,0.4864324871514932,3.65,-2.66,0.1491740412979351,0.8736615608314514,2.9399999999999977,-3.260000000000005,1.6767970165430093e-16,14.075227409431754,152.8,-125.73,5.519144542772861,10.594031261916015,43.930000000000064,0.0,0.0,2.571110781527621,27.489999999999995,-32.6,0.711764705882353,242,98,0.15588235294117647,0.8647058823529412,0.7088235294117647,340,5,0.22861333787441254,0.02421866916880954,0.23456649780273436,0.006613853582610612,0.0,0.0,0.9780392169952392,0.013493842751849545,4.324654127205303,0.11121082003992266,0.026296491175889967,0.003257585646568387
08-11-22-0003-00,0.7457988165680473,1.1779737095093978,0.04,3.41,0.14,3.37,0.5700000000000001,11.338934911242601,8.136603418054397,-0.05,34.32,11.415,34.37,1.1799999999999997,48.919615384615376,25.678810813148026,0.01,75.56,61.15,75.55,34.3025,123.80745562130177,78.59263817374564,0.0,208.28,169.35500000000002,208.28,177.47750000000002,1128.20224852071,820.0170075045453,0.33,2429.02,1059.67,2428.69,1443.565,18.75715976331361,11.545322671482303,0.0,40.23,24.895,40.23,25.1575,0.2528829269034416,0.9869919058544616,1.391079235701547,3.048226950422999,6.099943537694063,11.958844853914613,6.401544776297324,23.196681717022226,17.48190872416396,26.1533056233397,56.68073372157029,85.01209068385508,128.1735957473209,728.9510045586945,234.9445520835927,4.492833667679881,7.044711718886887,14.784712403019546,-0.003353115727002967,0.13236753238107982,0.5400000000000003,-2.03,-5.271088544214393e-18,0.5049522608269872,3.7600000000000002,-2.64,0.19477744807121666,1.2634448471820405,4.449999999999999,-6.190000000000012,0.0,17.493074718163133,199.49,-105.59,7.206795252225519,11.84656801050821,44.25999999999999,0.0,2.1084354176857573e-17,3.240170575315883,37.19,-38.52,0.7159763313609467,242,96,0.15384615384615385,0.8668639053254438,0.7130177514792899,338,5,0.29067098498344424,0.03360885331035247,0.26050716638565063,0.004531390683514587,0.0007843137718737125,0.001568627543747425,0.991372549533844,0.008374178522061062,4.591903434577693,0.06623702984357624,0.029201052337884902,0.0035098723888559178
08-11-22-0004-00,0.7503529411764706,1.1688584018437158,0.02,3.4,0.14,3.38,0.66,11.097058823529412,7.9419128750272545,-0.05,33.72,11.295,33.769999999999996,1.2225000000000001,30.921382352941173,23.105316558006844,0.0,60.44,42.47,60.44,52.12,120.17041176470589,77.1812318028341,0.0,190.91,164.885,190.91,171.99,802.8750000000002,705.2307396641587,0.0,1824.92,771.97,1824.92,1571.1499999999999,18.546029411764703,11.51031413062055,0.0,40.23,24.875,40.23,25.052500000000002,0.2490414258608018,0.9861351186435977,1.2867224875628778,2.948766036543805,5.967556839253582,11.889560060826472,3.923476049804718,22.20882242148127,11.799299404625684,26.180614275587004,54.5288222353606,83.34483921635459,98.49545169151249,647.9851778021333,246.68770074278126,4.440860944077072,7.167834860836446,14.920246192338784,-0.003185840707964602,0.12097189379712184,0.56,-1.6500000000000001,5.239990676696904e-18,0.4946052158303905,3.9499999999999997,-2.7399999999999998,0.14548672566371681,0.7378915963468926,2.59,-2.8400000000000034,0.0,14.484800787244325,143.41000000000003,-99.53,5.383244837758112,9.913236508776048,40.99000000000001,0.0,0.0,2.3173855397074026,26.26,-26.5,0.711764705882353,242,98,0.15294117647058825,0.861764705882353,0.7088235294117647,340,5,0.24080379009246827,0.03397325850185667,0.23188460171222686,0.006832290469572638,0.004705882631242275,0.0029346334180798085,0.9819607853889465,0.017642699935396595,4.4699837587007,0.11131066076035101,0.026215582713484765,0.0029031027582557094
08-11-22-0005-00,0.7411504424778761,1.1794726674061116,0.03,3.41,0.13,3.3800000000000003,0.77,11.259675516224188,8.009512477740774,-0.04,33.08,11.63,33.12,1.3949999999999996,44.89,26.042683659510764,0.0,73.5,58.02,73.5,40.824999999999996,121.22356932153393,78.94092106307944,0.0,239.85,167.3,239.85,175.55,1068.804041297935,806.6039242179503,0.0,2205.41,1115.74,2205.41,1445.6599999999999,19.357640117994098,12.659212693217283,0.0,81.91,24.91,81.91,25.175,0.22829420706875123,0.9995008558442227,1.3524150398453871,2.995509958880518,6.027894408198344,11.779034860293098,5.849348404629204,24.2647805759477,19.33868231705563,27.509390724509828,56.22423329625956,83.53512819981785,120.2691296293645,739.0069150262719,229.79844589631148,5.616023974556778,6.474289218816912,20.394458310040992,-0.0032544378698224842,0.13012229032793546,0.62,-1.7100000000000002,-2.9585798816567417e-05,0.47243576080088123,2.72,-2.6999999999999997,0.17636094674556213,1.12693358260277,4.469999999999999,-5.269999999999996,0.0,20.632756791543663,217.37,-190.84,6.524881656804733,11.840932857486706,49.840000000000146,0.0,1.0510987215386097e-16,7.043339215152374,81.91,-81.19,0.7109144542772862,241,98,0.15339233038348082,0.8672566371681416,0.7138643067846607,339,5,0.26641527414321897,0.02092309723644935,0.22765416502952576,0.008689247062344141,0.005490196403115988,0.00313725508749485,0.9474509835243226,0.01580348272832123,4.532284406584393,0.07513133512634128,0.02598833665251732,0.001511365737452311
08-11-22-0006-00,0.7579166666666666,1.168024664515019,0.05,3.36,0.14,3.31,0.77,11.791220238095239,8.370099697992579,-0.04,34.79,12.02,34.83,2.115,45.59854166666666,28.117702236508322,0.01,76.86,58.445,76.85,44.287499999999994,123.76696428571428,78.48103197975723,0.0,194.04,168.19,194.04,175.51,1109.6832142857143,879.1935256866597,0.49,2459.67,1079.4250000000002,2459.1800000000003,1649.26,18.669494047619043,11.855308932815786,0.0,81.9,24.865000000000002,81.9,25.12,0.25664311274106955,0.9782422121108635,1.3192055336451556,3.0963777146995444,6.320425900645903,12.648717628281533,5.535758458206204,26.487558022001362,13.832695414849558,25.125717837288025,56.81112763394157,86.69950097295832,136.0525443446222,800.5946628725708,226.03222841258722,4.819353053480216,6.926801078339762,16.757054414186285,-0.003164179104477612,0.12828259843145953,0.58,-1.9499999999999997,2.9850746268645476e-05,0.49871541481543213,3.17,-2.73,0.1984179104477612,1.0789769237909888,3.239999999999995,-4.5,8.484092367284778e-17,16.025755337322995,189.63,-123.17999999999999,7.340835820895523,12.05363768060248,47.710000000000036,0.0,2.1210230918211946e-17,5.591151210286432,81.87,-50.040000000000006,0.7172619047619048,241,95,0.1488095238095238,0.8630952380952381,0.7142857142857143,336,5,0.21812292635440828,0.012347899188213761,0.2199316769838333,0.00952677527258024,0.0,0.0,0.9701960802078247,0.024876471501017183,4.3805531328562,0.05953674162497889,0.026201199740171432,0.001005073089573393
08-11-22-0007-00,0.719406528189911,1.1666421102504558,0.03,3.41,0.13,3.3800000000000003,0.38999999999999996,11.689970326409496,8.28356859270624,-0.04,34.21,11.9,34.25,1.1499999999999986,40.15391691394659,28.392306859055864,0.01,75.95,50.62,75.94,65.35000000000001,120.8586053412463,77.75092213594392,0.0,188.09,166.3,188.09,174.18,1030.9316913946586,896.1828243788842,0.33,2430.33,950.66,2430.0,1850.0,19.10593471810089,12.136568135303671,0.0,81.91,25.02,81.91,25.26,0.24213992462670872,0.9845796038862925,1.3787596744900832,3.095443671264739,6.250088127023134,11.982544719716257,4.525188057394794,27.10005941028236,13.357718014690983,26.655774353191656,56.33893257162403,80.44868935563835,126.09276390772298,817.3471640015963,248.29482594085604,5.138641330406852,6.8386317916833494,18.01272115922522,-0.004404761904761905,0.12473830459795816,0.54,-1.62,5.952380952381354e-05,0.49407836350336226,3.37,-2.7199999999999998,0.19544642857142863,0.8974762842012177,2.9699999999999998,-3.25,0.0,14.019205185382328,87.82,-111.29,7.232142857142857,11.604490054470597,48.200000000000045,0.0,5.2867763077388404e-17,6.886385747016821,81.91,-81.89999999999999,0.712166172106825,240,97,0.1543026706231454,0.8664688427299704,0.712166172106825,337,5,0.2581993818283081,0.04477229997757421,0.23781500160694122,0.01756002990028285,0.0,0.0,0.9819607853889465,0.013493842751849545,4.501518925087521,0.15525330269318002,0.029004377126693726,0.0034851950175434493
08-11-22-0008-00,0.7397928994082841,1.1510019960731035,0.04,3.3,0.13,3.26,0.49,11.641479289940829,8.34342340563408,-0.04,34.8,11.905000000000001,34.839999999999996,1.5825000000000014,34.75778106508876,20.604235803443753,0.01,58.45,44.215,58.440000000000005,27.474999999999998,122.34482248520709,77.98472909630185,0.0,198.98,168.09,198.98,174.3475,825.4619822485208,622.0062274378208,0.33,1651.48,818.85,1651.15,1390.3775,19.002366863905326,12.356171070392229,0.0,81.91,24.89,81.91,25.16,0.2127735836130109,0.9674115147593025,1.3438974514448636,3.1890424389740137,6.182148154947615,12.43835244556127,4.854307634340545,19.39635770696825,12.078216881642755,25.4662306414327,56.26038029524468,82.85559978758225,85.73942450924962,577.1929641988146,230.66123765244996,5.292499621009207,6.498673378125382,19.087296572327887,-0.003620178041543026,0.12785063111830602,0.51,-1.8299999999999998,2.9673590504450407e-05,0.5244943701842305,3.96,-2.75,0.13240356083086055,0.8976115017548074,3.4299999999999997,-3.8900000000000006,0.0,14.327692238492297,136.04999999999998,-121.30000000000001,4.899554896142433,9.986428384794348,50.330000000000155,0.0,-2.1084354176857573e-17,6.785165453995595,81.91,-81.89,0.7159763313609467,242,96,0.15088757396449703,0.863905325443787,0.7130177514792899,338,5,0.23973437249660492,0.029370588648480644,0.23312270641326904,0.015643097305838606,0.0,0.0,0.9796078443527222,0.027884529843256213,4.419066989529833,0.04484096549544961,0.027297545969486237,0.002030239117043177
