sample_id,label,defect_type,category,n_sensor_rows,duration_s,n_images,const_sensor_cols,issues
04-04-23-0001-00,0,good,good_plane_04_04_23,294,32.65,5,[],[]
04-04-23-0002-00,0,good,good_plane_04_04_23,294,32.68,5,[],[]
08-11-22-0001-00,0,good,good_weld_08_11_22_butt_joint,336,37.32,5,[],[]
08-11-22-0002-00,0,good,good_weld_08_11_22_butt_joint,340,37.53,5,[],[]
08-11-22-0003-00,0,good,good_weld_08_11_22_butt_joint,338,37.4,5,[],[]
08-11-22-0004-00,0,good,good_weld_08_11_22_butt_joint,340,37.62,5,[],[]
08-11-22-0005-00,0,good,good_weld_08_11_22_butt_joint,339,37.8,5,[],[]
08-11-22-0006-00,0,good,good_weld_08_11_22_butt_joint,336,37.13,5,[],[]
08-11-22-0007-00,0,good,good_weld_08_11_22_butt_joint,337,37.58,5,[],[]
08-11-22-0008-00,0,good,good_weld_08_11_22_butt_joint,338,37.41,5,[],[]
08-11-22-0009-00,0,good,good_weld_08_11_22_butt_joint,338,37.43,5,[],[]
08-11-22-0010-00,0,good,good_weld_08_11_22_butt_joint,338,37.41,5,[],[]
08-11-22-0011-00,0,good,good_weld_08_11_22_butt_joint,338,37.21,5,[],[]
08-11-22-0012-00,0,good,good_weld_08_11_22_butt_joint,337,37.43,5,[],[]
08-11-22-0013-00,0,good,good_weld_08_11_22_butt_joint,341,37.75,5,[],[]
08-11-22-0014-00,0,good,good_weld_08_11_22_butt_joint,339,37.59,5,[],[]
08-11-22-0015-00,0,good,good_weld_08_11_22_butt_joint,336,37.27,5,[],[]
08-11-22-0016-00,0,good,good_weld_08_11_22_butt_joint,337,37.52,5,[],[]
08-11-22-0017-00,0,good,good_weld_08_11_22_butt_joint,337,37.53,5,[],[]
08-11-22-0018-00,0,good,good_weld_08_11_22_butt_joint,339,37.63,5,[],[]
08-11-22-0019-00,0,good,good_weld_08_11_22_butt_joint,339,37.51,5,[],[]
08-17-22-0001-00,0,good,good_weld_08_17_22_plane_plate,337,37.37,5,[],[]
08-17-22-0002-00,0,good,good_weld_08_17_22_plane_plate,342,37.4,5,[],[]
08-17-22-0003-00,0,good,good_weld_08_17_22_plane_plate,337,37.36,5,[],[]
08-17-22-0004-00,0,good,good_weld_08_17_22_plane_plate,340,37.5,5,[],[]
08-17-22-0005-00,0,good,good_weld_08_17_22_plane_plate,338,37.35,5,[],[]
08-17-22-0006-00,0,good,good_weld_08_17_22_plane_plate,341,37.51,5,[],[]
08-17-22-0007-00,0,good,good_weld_08_17_22_plane_plate,334,37.38,5,[],[]
08-17-22-0008-00,0,good,good_weld_08_17_22_plane_plate,336,37.5,5,[],[]
08-17-22-0009-00,0,good,good_weld_08_17_22_plane_plate,338,37.41,5,[],[]
08-17-22-0010-00,0,good,good_weld_08_17_22_plane_plate,338,37.45,5,[],[]
08-17-22-0011-00,0,good,good_weld_08_17_22_plane_plate,338,37.44,5,[],[]
08-17-22-0012-00,0,good,good_weld_08_17_22_plane_plate,336,37.42,5,[],[]
08-17-22-0013-00,0,good,good_weld_08_17_22_plane_plate,335,37.47,5,[],[]
08-17-22-0014-00,0,good,good_weld_08_17_22_plane_plate,337,37.52,5,[],[]
08-17-22-0015-00,0,good,good_weld_08_17_22_plane_plate,335,37.43,5,[],[]
08-17-22-0016-00,0,good,good_weld_08_17_22_plane_plate,338,37.31,5,[],[]
08-17-22-0017-00,0,good,good_weld_08_17_22_plane_plate,338,37.45,5,[],[]
08-17-22-0018-00,0,good,good_weld_08_17_22_plane_plate,341,37.47,5,[],[]
08-17-22-0019-00,0,good,good_weld_08_17_22_plane_plate,336,37.32,5,[],[]
08-18-22-0020-00,0,good,good_weld_08_17_22_plane_plate,338,37.3,5,[],[]
09-30-22-0061-00,0,good,good_weld_10_09-29-22_butt,332,36.89,5,[],[]
09-30-22-0062-00,0,good,good_weld_10_09-29-22_butt,331,36.63,5,[],[]
09-30-22-0063-00,0,good,good_weld_10_09-29-22_butt,332,36.82,5,[],[]
09-30-22-0064-00,0,good,good_weld_10_09-29-22_butt,333,36.8,5,[],[]
09-30-22-0065-00,0,good,good_weld_10_09-29-22_butt,332,36.77,5,[],[]
